# graph=guest-workspace	target=x86_64-unknown-linux-gnu	lock_sha256=94aeaf1f517a048ef2b6eceb0910dbe50faf9d560a6104d0274eadda8bc26ede	external_packages=226
name	version	source	checksum	license	normalized_license	repository	vcs_commit	path_in_vcs	notice_files
accesskit	0.24.1	registry+https://github.com/rust-lang/crates.io-index	d3b7f7f85a7e5f68090000ed7622545829afd484d210358702ae4cb97dd0c320	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/AccessKit/accesskit	a55d3e1a18bb9ef0e4bccc9083fb13c3e0ad8969	common	fallback:LICENSES/upstream/cargo-fallbacks/accesskit-LICENSE-APACHE@sha256:62c7a1e35f56406896d7aa7ca52d0cc0d272ac022b5d2796e7d6905db8a3636a;fallback:LICENSES/upstream/cargo-fallbacks/accesskit-LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3;fallback:LICENSES/upstream/cargo-fallbacks/accesskit-LICENSE.chromium@sha256:845022e0c1db1abb41a6ba4cd3c4b674ec290f3359d9d3c78ae558d4c0ed9308
accesskit_atspi_common	0.19.1	registry+https://github.com/rust-lang/crates.io-index	023da0e5097f46df7092d5280b02efb9bbf8d93298daeced42652463e357d636	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/AccessKit/accesskit	c88605b96d04431f9c3c792464a0f2f253480e94	platforms/atspi-common	fallback:LICENSES/upstream/cargo-fallbacks/accesskit-LICENSE-APACHE@sha256:62c7a1e35f56406896d7aa7ca52d0cc0d272ac022b5d2796e7d6905db8a3636a;fallback:LICENSES/upstream/cargo-fallbacks/accesskit-LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3;fallback:LICENSES/upstream/cargo-fallbacks/accesskit-LICENSE.chromium@sha256:845022e0c1db1abb41a6ba4cd3c4b674ec290f3359d9d3c78ae558d4c0ed9308
accesskit_consumer	0.38.0	registry+https://github.com/rust-lang/crates.io-index	5d10a236f96f87d70732e44520046785431ef01d5bcd6b041317bfadd2f88245	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/AccessKit/accesskit	c88605b96d04431f9c3c792464a0f2f253480e94	consumer	fallback:LICENSES/upstream/cargo-fallbacks/accesskit-LICENSE-APACHE@sha256:62c7a1e35f56406896d7aa7ca52d0cc0d272ac022b5d2796e7d6905db8a3636a;fallback:LICENSES/upstream/cargo-fallbacks/accesskit-LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3;fallback:LICENSES/upstream/cargo-fallbacks/accesskit-LICENSE.chromium@sha256:845022e0c1db1abb41a6ba4cd3c4b674ec290f3359d9d3c78ae558d4c0ed9308
accesskit_unix	0.22.1	registry+https://github.com/rust-lang/crates.io-index	03e156ed3802e35eefe894ef2671bc6c889303d8a7e110b5e1b48f504b91362f	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/AccessKit/accesskit	c88605b96d04431f9c3c792464a0f2f253480e94	platforms/unix	fallback:LICENSES/upstream/cargo-fallbacks/accesskit-LICENSE-APACHE@sha256:62c7a1e35f56406896d7aa7ca52d0cc0d272ac022b5d2796e7d6905db8a3636a;fallback:LICENSES/upstream/cargo-fallbacks/accesskit-LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3;fallback:LICENSES/upstream/cargo-fallbacks/accesskit-LICENSE.chromium@sha256:845022e0c1db1abb41a6ba4cd3c4b674ec290f3359d9d3c78ae558d4c0ed9308
adler2	2.0.1	registry+https://github.com/rust-lang/crates.io-index	320119579fcad9c21884f5c4861d16174d0e06250625266f50fe6898340abefa	0BSD OR MIT OR Apache-2.0	0BSD OR MIT OR Apache-2.0	https://github.com/oyvindln/adler2	89a031a0f42eeff31c70dc598b398cbf31f1680f		LICENSE-0BSD@sha256:861399f8c21c042b110517e76dc6b63a2b334276c8cf17412fc3c8908ca8dc17;LICENSE-APACHE@sha256:8ada45cd9f843acf64e4722ae262c622a2b3b3007c7310ef36ac1061a30f6adb;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
allocator-api2	0.2.21	registry+https://github.com/rust-lang/crates.io-index	683d7910e743518b0e34f1186f92494becacb047c7b6bf616c96772180fef923	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/zakarumych/allocator-api2	63cd7fcc2f8854b5821c7054d026e8a4647acde1		LICENSE-APACHE@sha256:20fe7b00e904ed690e3b9fd6073784d3fc428141dbd10b81c01fd143d0797f58;LICENSE-MIT@sha256:36516aefdc84c5d5a1e7485425913a22dbda69eb1930c5e84d6ae4972b5194b9
anyhow	1.0.104	registry+https://github.com/rust-lang/crates.io-index	330a5ed07fa54e4702c9d6c4174f74427fc0ef6e214bbd677ae50a5099946470	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/dtolnay/anyhow	1dbe1862aae650423e3361fbd20b7d17c5109cc3		LICENSE-APACHE@sha256:62c7a1e35f56406896d7aa7ca52d0cc0d272ac022b5d2796e7d6905db8a3636a;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
arrayref	0.3.9	registry+https://github.com/rust-lang/crates.io-index	76a2e8124351fda1ef8aaaa3bbd7ebbcb486bbcd4225aca0aa0d84bb2db8fecb	BSD-2-Clause	BSD-2-Clause	https://github.com/droundy/arrayref	f8d0299d863922db6c409d08098941e833b70d69		LICENSE@sha256:1bc7e6f475b3ec99b7e2643411950ae2368c250dd4c5c325f80f9811362a94a1
arrayvec	0.7.8	registry+https://github.com/rust-lang/crates.io-index	d3fb67a6e08acf24fdeccbac2cb6ac4305825bd1f117462e0e6f2f193345ad56	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/bluss/arrayvec	0cb664cf505844348538230479b0040b44f3faf1		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:4da95ec4ecb65b738d470b7d762894ad9c97da93e6cbfb18b570fc2c96f4b871
async-broadcast	0.7.2	registry+https://github.com/rust-lang/crates.io-index	435a87a52755b8f27fcf321ac4f04b2802e337c8c4872923137471ec39c37532	MIT OR Apache-2.0	MIT OR Apache-2.0	https://github.com/smol-rs/async-broadcast	f7a99132b7e12cb03945013df78b93a35ceafbc1		LICENSE-APACHE@sha256:e4705ddab847449a2cdcb3c88b005ea10330aa249d9148ca2eef9c84c5d29895;LICENSE-MIT@sha256:24e5860bf589d8501643e6ea51ffb3df66db2867492b09033d486183efbfa970
async-channel	2.5.0	registry+https://github.com/rust-lang/crates.io-index	924ed96dd52d1b75e9c1a3e6275715fd320f5f9439fb5a4a11fa51f4221158d2	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/smol-rs/async-channel	35a63c456aaa1906015f5a825e7e35505a749afa		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
async-executor	1.14.0	registry+https://github.com/rust-lang/crates.io-index	c96bf972d85afc50bf5ab8fe2d54d1586b4e0b46c97c50a0c9e71e2f7bcd812a	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/smol-rs/async-executor	543403e773ec4941a6272e29c2ff649bfd01a4f8		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
async-io	2.6.0	registry+https://github.com/rust-lang/crates.io-index	456b8a8feb6f42d237746d4b3e9a178494627745c3c56c6ea55d92ba50d026fc	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/smol-rs/async-io	576b470ca3cadefdec8b169279df23c9a0a63495		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
async-lock	3.4.2	registry+https://github.com/rust-lang/crates.io-index	290f7f2596bd5b78a9fec8088ccd89180d7f9f55b94b0576823bbbdc72ee8311	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/smol-rs/async-lock	f07ba65a02ec3eca32fa95e6d13dc754d619bb35		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
async-process	2.5.0	registry+https://github.com/rust-lang/crates.io-index	fc50921ec0055cdd8a16de48773bfeec5c972598674347252c0399676be7da75	Apache-2.0 OR MIT	Apache-2.0 OR MIT	https://github.com/smol-rs/async-process	81112a911898d607d176d37b85f56a1da0061455		LICENSE-APACHE@sha256:a60eea817514531668d7e00765731449fe14d059d3249e0bc93b36de45f759f2;LICENSE-MIT@sha256:23f18e03dc49df91622fe2a76176497404e46ced8a715d9d2b67a7446571cca3
